Date,Confirmed,Recovered,Deceased,Other,Tested,Infected,Delta_C,Delta_D,Delta_R,beta,gamma,delta,r0,R0
2020-08-19,2835823,2096068,53996,531,32661252.0,685759,68518.0,981.0,61873.0,0.09991556800566963,0.09022557487397176,0.0014305317174109272,0.008259461414286948,1.0901135965889204
2020-08-20,2904341,2157941,54977,531,33467237.0,691423,69029.0,953.0,62858.0,0.09983613504323692,0.09091106312633511,0.001378316891396439,0.007546755025505378,1.081772735108367
2020-08-21,2973370,2220799,55930,545,34491073.0,696641,70067.0,918.0,59101.0,0.10057834666636044,0.0848370968691191,0.0013177518980364347,0.014423497899204912,1.1674136523434249
2020-08-22,3043437,2279900,56848,553,35292220.0,706689,61749.0,846.0,56896.0,0.08737789890602514,0.08051066310640183,0.0011971319774327887,0.00567010382219052,1.069394894530844
2020-08-23,3105186,2336796,57694,555,35902137.0,710696,59696.0,854.0,66305.0,0.08399653297612482,0.09329586771277733,0.0012016389567409975,-0.010500973693393506,0.8888756533003769
2020-08-24,3164882,2403101,58548,566,36827520.0,703233,66873.0,1066.0,64151.0,0.09509366028044759,0.0912229659302109,0.0015158560533990867,0.002354838296837608,1.0253921523529141
2020-08-25,3231755,2467252,59614,569,37651512.0,704889,75995.0,1017.0,56191.0,0.10781130078636494,0.07971609714437308,0.0014427803526512685,0.026652423289340588,1.3283981261362048
2020-08-26,3307750,2523443,60631,574,38576510.0,723676,76827.0,1066.0,59620.0,0.10616214991239173,0.08238493469453181,0.0014730348940686163,0.022304180323791292,1.2659756780806115
2020-08-27,3384577,2583063,61697,571,39477848.0,739817,76657.0,1019.0,64475.0,0.1036161645379871,0.0871499303206063,0.0013773676463233475,0.015088866571057444,1.1704430940238801
2020-08-28,3461234,2647538,62716,581,40406609.0,750980,78479.0,943.0,64982.0,0.10450211723348159,0.08652960132094063,0.0012556925617193534,0.0167168233508216,1.190428517254456
2020-08-29,3539713,2712520,63659,588,41461636.0,763534,79461.0,960.0,60422.0,0.10407002176720355,0.07913465543119233,0.0012573113967419918,0.023678054939269222,1.294532599133296
2020-08-30,3619174,2772942,64619,586,42307914.0,781613,68766.0,816.0,64435.0,0.0879796011581179,0.08243849577732203,0.001043994918201207,0.0044971104625946695,1.0538689062236595
2020-08-31,3687940,2837377,65435,589,43324834.0,785128,78168.0,1027.0,62147.0,0.09956083594012696,0.07915524602357832,0.0013080669648770646,0.01909752295167158,1.2373444771583246
2020-09-01,3766108,2899524,66462,592,44337201.0,800122,82865.0,1026.0,67876.0,0.10356545626791915,0.08483206311037567,0.0012823044485715928,0.017451088708971885,1.2026501407796581
2020-09-02,3848973,2967400,67488,597,45509380.0,814085,84159.0,1083.0,67510.0,0.10337863982262295,0.08292745843493002,0.0013303279141612977,0.019120853473531638,1.2269327773971106
2020-09-03,3933132,3034910,68571,604,46679145.0,829651,87107.0,1066.0,69604.0,0.1049923401526666,0.0838955175127855,0.0012848776172149493,0.019811945022666158,1.2325880854676665
2020-09-04,4020239,3104514,69637,615,47738491.0,846088,90606.0,1044.0,73165.0,0.10708815158706896,0.08647445655771031,0.0012339142027779615,0.019379780826580678,1.220957026775728
2020-09-05,4110845,3177679,70681,620,48831145.0,862485,91725.0,1005.0,69630.0,0.10634967564653298,0.08073183881458808,0.0011652376563070662,0.024452599175637843,1.2985771926098961
2020-09-06,4202570,3247309,71686,623,49551507.0,883575,75015.0,1129.0,74116.0,0.08489941431117902,0.08388195682313329,0.001277763630704807,-0.0002603061426590808,0.9969433184929232
2020-09-07,4277585,3321425,72815,596,50650128.0,883345,89855.0,1107.0,74608.0,0.10172129802059218,0.08446077127283225,0.0012531909955906242,0.01600733575216931,1.1867529551608003
2020-09-08,4367440,3396033,73922,601,51804677.0,897485,95536.0,1168.0,73062.0,0.10644857574221296,0.08140748870454659,0.0013014145083204733,0.023739672529345904,1.2870268085679646
2020-09-09,4462976,3469095,75090,601,52934433.0,918791,96762.0,1213.0,70904.0,0.1053144839250711,0.07717097794819497,0.0013202131932071603,0.026823292783668976,1.3417363451058697
2020-09-10,4559738,3539999,76303,636,54097975.0,943436,97655.0,1202.0,81456.0,0.10350993602109736,0.08633971991740828,0.001274066285365409,0.01589614981832367,1.1814343439231534
2020-09-11,4657393,3621455,77505,641,55189226.0,958433,94414.0,1111.0,77862.0,0.09850871161573109,0.08123885550685338,0.0011591837927116449,0.016110672316166072,1.1955225203550581
2020-09-12,4751807,3699317,78616,661,56260928.0,973874,93220.0,1140.0,77748.0,0.095720801664281,0.07983373619174554,0.0011705826421077059,0.014716482830427757,1.1816752864821012
2020-09-13,4845027,3777065,79756,671,57239428.0,988206,81913.0,1054.0,79213.0,0.08289061187647111,0.08015838802840704,0.0010665792355035286,0.0016656446125605379,1.0205065593581422
2020-09-14,4926940,3856278,80810,686,58312273.0,989852,91097.0,1281.0,82849.0,0.09203092987638556,0.08369837106961445,0.0012941328602659793,0.007038425946505139,1.082812314275526
2020-09-15,5018037,3939127,82091,717,59429115.0,996819,97860.0,1140.0,82924.0,0.09817228604189929,0.08318862300979415,0.001143637912198704,0.013840025119906424,1.1641130567186906
2020-09-16,5115897,4022051,83231,732,60565728.0,1010615,96787.0,1175.0,87788.0,0.0957703972333678,0.08686591827748451,0.0011626583812826843,0.007741820574600614,1.087946674460169
2020-09-17,5212684,4109839,84406,736,61572343.0,1018439,92973.0,1221.0,95515.0,0.09128970905473965,0.09378568574062855,0.0011988936008931316,-0.0036948702867820316,0.9611003142573602
2020-09-18,5305657,4205354,85627,745,62454254.0,1014676,92574.0,1149.0,94389.0,0.09123503463174452,0.09302378296126054,0.0011323811738919616,-0.0029211295034079765,0.9689756955347612
2020-09-19,5398231,4299743,86776,758,63661060.0,1011712,87395.0,1135.0,92926.0,0.08638327903593117,0.09185024987348178,0.001121860766700405,-0.006588831604251014,0.9291310957782716
2020-09-20,5485626,4392669,87911,782,64392594.0,1005046,74493.0,1056.0,102075.0,0.07411899554846246,0.1015625155465521,0.0010506981769988638,-0.0284942181750885,0.7223143380748757
2020-09-21,5560119,4494744,88967,797,65325779.0,976408,83362.0,1085.0,89657.0,0.08537619519708974,0.09182329517988382,0.0011112158032297974,-0.007558315786023881,0.91867051640916
2020-09-22,5643481,4584401,90052,807,66279462.0,969028,86703.0,1123.0,87459.0,0.08947419476011013,0.09025435797520814,0.0011588932414749625,-0.0019390564565729684,0.9787880156239418
2020-09-23,5730184,4671860,91175,818,67436031.0,967149,85921.0,1144.0,81142.0,0.08883946527370654,0.0838981377223158,0.0011828580704731121,0.0037584694809176256,1.0441751938361326
2020-09-24,5816105,4753002,92319,823,68928440.0,970784,85717.0,1093.0,93331.0,0.08829667567656657,0.09613982101064707,0.0011258941226884663,-0.008969039456768968,0.9077882741675845
2020-09-25,5901822,4846333,93412,832,70269975.0,962077,88759.0,1124.0,92365.0,0.09225768831392914,0.09600582905526273,0.0011683056553685412,-0.004916446396702134,0.9494058124485234
2020-09-26,5990581,4938698,94536,847,71257836.0,957347,82770.0,1040.0,74691.0,0.08645767939942361,0.07801873301947987,0.0010863354666594243,0.007352610913284319,1.0929474059500073
2020-09-27,6073351,5013389,95576,857,71967230.0,964386,69668.0,775.0,85194.0,0.07224078325483779,0.08834014595815369,0.0008036201272104738,-0.016902982830526367,0.8103851388291128
2020-09-28,6143019,5098583,96351,863,73110041.0,948085,80500.0,1178.0,86150.0,0.08490799875538586,0.09086738003449057,0.0012425046277496216,-0.007201885906854333,0.9218120190545989
2020-09-29,6223519,5184733,97529,883,74196729.0,941257,86748.0,1179.0,85274.0,0.09216186440047723,0.09059587339058302,0.0012525803260958483,0.00031341068379836523,1.0034122586839092
2020-09-30,6310267,5270007,98708,909,75619781.0,941552,81693.0,1096.0,78646.0,0.08676419358675888,0.08352804730912367,0.0011640355498156235,0.0020721107278195983,1.0244664041533946
2020-10-01,6391960,5348653,99804,918,76717728.0,943503,34829.0,344.0,34326.0,0.03691456200987172,0.03638144234835501,0.00036459873471520496,0.000168520926801502,1.0045860974906258
2020-10-02,6426789,5382979,100148,918,76717728.0,943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
