beta,gamma,delta,r0
0.19964413316682075,0.0073986947151755775,0.0032370104198371904,0.189008428031808
0.19845939484806804,0.008229717177088515,0.0036246081834632104,0.18660506948751632
0.19645694934306246,0.009055769616948156,0.004024319573480762,0.18337686015263355
0.19409976768653825,0.009878230882433081,0.004596161680461936,0.17962537512364324
0.190868109883475,0.010700518935339109,0.005291184788128285,0.1748764061600076
0.18666407224680365,0.011531296016941273,0.005724276917893799,0.16940849931196858
0.18208189417741827,0.012393099131417845,0.005940796911221905,0.16374799813477853
0.17784957750776634,0.0133167471053343,0.006123321857980895,0.15840950854445113
0.1743287049101776,0.014275223475568616,0.006262210569471375,0.1537912708651376
0.17106802517514327,0.015261276948576449,0.0062051692043871036,0.14960157902217971
0.16713372021795478,0.016261829262418252,0.006040426642755038,0.1448314643127815
0.1612020738753342,0.017261044757017233,0.00585008781158754,0.13809094130672941
0.1531572454882114,0.018240533186793945,0.0056243585854063565,0.1292923537160111
0.14511915007034074,0.019181856044919454,0.005355402184696566,0.12058189184072471
0.13785593344056682,0.02007241875777701,0.00507574491200023,0.11270776977078958
0.13142898526897664,0.020903980176829262,0.004799075637269548,0.10572592945487783
0.1258369232182935,0.02167608140214182,0.004522972375838801,0.09963786944031289
0.1209567638055589,0.02239332308140967,0.004233989990532575,0.09432945073361665
0.11660955233718052,0.02306639481201472,0.003926380453270268,0.08961677707189554
0.112443401371576,0.02371049912200592,0.0036486282558176163,0.08508427399375247
0.10840623646019933,0.024342404356527063,0.003482843544708666,0.08058098855896359
0.10467674296897035,0.02497444462560125,0.003378674712344432,0.07632362363102467
0.10168399644192065,0.025612478181444284,0.003296273569585457,0.07277524469089092
0.09942479871507477,0.0262548089484362,0.0032256821740570584,0.06994430759258152
0.09743274228185475,0.02689915513832248,0.0031653205077951446,0.06736826663573714
0.09545386217548783,0.02754727480846106,0.0031164731864599857,0.0647901141805668
0.0935715267355177,0.028197516957214504,0.003083542078126528,0.06229046770017667
0.09195381265462527,0.02884641878178824,0.0030702615245919497,0.06003713234824508
0.09071235254103736,0.02948952176575862,0.003064201388540673,0.05815862938673807
0.08992952271230921,0.030122445865349096,0.0030611160147651947,0.05674596083219492
0.08966374047492585,0.03074186950785933,0.003066834032149552,0.055855036934916974
0.08989142052643735,0.031344748508282776,0.0030792581754383,0.05546741384271627
0.09036552352355308,0.031930233613945584,0.0030837745900691217,0.05535151531953838
0.09081065798008234,0.0324996077504008,0.0030707659803598593,0.055240284249321675
0.09114987356208161,0.033054719839735194,0.0030482141364483934,0.05504693958589803
0.09148431200960237,0.03360429682226628,0.003023708402741753,0.054856306784594334
0.09184811008851784,0.03416537394130238,0.0029997695179923346,0.05468296662922313
0.09213570613475747,0.034754272716003475,0.0029752571651720525,0.05440617625358194
0.09224954837942151,0.03537702385245256,0.0029482985505900404,0.053924225976378914
0.09203483011572718,0.036030676905650365,0.002913906235220359,0.053090246974856446
0.09142158338750651,0.036701100128617915,0.0028693620130205003,0.0518511212458681
0.09045980630508693,0.03737080205145891,0.002816567095175423,0.050272437158452594
0.08925507234243132,0.03802044514629519,0.0027585477084600147,0.04847607948767612
0.08799849434000459,0.03863557672796723,0.002701900351151009,0.04666101726088635
0.08700652724041737,0.03921265994735848,0.0026530288855000153,0.045140838407558864
0.08645875771868489,0.03975426413246691,0.0026113628953655576,0.044093130690852425
0.08633804594170125,0.04026505424164587,0.002573600043034317,0.043499391657021054
0.086540323100186,0.04074346559064832,0.002536592877555833,0.04326026463198184
